,perovskite_composition,passivating_molecule
322,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,octylammonium iodide
323,CsPbI3-xBrx,n-hexyl trimethyl ammonium bromide
324,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,TiOxNy
325,FA0.85Cs0.15PbI2.85I3,formamidinium formate
326,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,"b-poly(1,1-difluoroethylene) (b-pV2F)"
327,(FAPbI3)0.95(MAPbBr3)0.05,FA0.83Cs0.17Pb0.5Sn0.5I3
328,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,Oleylammonium iodide
329,Cs0.05FA0.9MA0.05PbI2.74Br0.26,allylammonium (ALA)
330,formamidinium-based,benzene
331,3D/CLP/2D perovskite heterostructure,EDTA
332,3D/0D perovskite,AZO/SnOx
333,FA1-xMAxPbI3Br0.13,NH4Cl
334,Cs0.05(MA0.1FA0.85PbI3)3,azetidinium iodide
335,"MAPbCl3, MAPbBr3, MAPbI3",poly(methyl methacrylate)
336,FA-based mixed perovskites,"PEAI, Cl-PEAI, F-PEAI"
337,MAPbI3,EDAI2
338,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,piperazinium iodide
339,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,PEA2ZnX4
340,formamidinium lead triiodide (FAPbI3),CF3PEAI2D
341,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
342,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,Spiro-mF
343,FA0.83Cs0.17Pb0.5Sn0.5I3,formamidinium
344,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),4-chlorophenylethylammonium iodide
345,Cs0.05FA0.95PbI3,Cs2PbI2Cl2
346,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,DTB(3%DEG)
347,PEA2(CH3NH3)2Pb2I7,methylamine
348,Cs0.05MA0.05FA0.90PbI3,NaF
349,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,none
350,phase-pure quantum wells,anisole
351,"MAPbCl3, MAPbBr3, MAPbI3",formamidine acetate
352,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,formamidinium formate
353,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,CB-NH2
354,FA0.83MA0.17Pb(I0.6Br0.4)3,formamidine acetate
355,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,Cs2PbI2Cl2
356,FA(MA)PbI3,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
357,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,CF3PEAI
358,Cs0.15FA0.85MA0.05PbI3,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
359,PEA2(CH3NH3)2Pb2I7,DTB(3%DEG)
360,CsFAMAPbI3,EDTA
361,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,CF3PEAI
362,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,CsMAFA-8
363,phase-pure quantum wells,"N,N-dimethyl-1,3-propane diammonium diiodide"
364,FA0.85Cs0.15PbI2.85I3,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
365,Cs0.05FA0.9MA0.05PbI2.74Br0.26,4-vinylbenzylammonium bromide
366,3D/0D perovskite,phenylethylammonium iodide
367,Cs0.05FA0.95PbI3,CF3PEAI2D
368,3D/CLP/2D perovskite heterostructure,hexafluorobenzene
369,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,allylammonium (ALA)
370,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,NaF
371,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,(BA)2PbI4
372,Cs0.12FA0.8MA0.08PbI1.8Br1.2,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
373,Cs0.05FA0.81MA0.14PbI2.55Br0.45,NH4Cl
374,(FAPbI3)0.95(MAPbBr3)0.05,anisole
375,MA0.7FA0.3PbI3,n-butylammonium bromide (BABr)
376,FA0.85Cs0.15PbI2.85I3,benzylhydrazine (BHC)
377,FA0.85MA0.1Cs0.05PbI2.9Br0.1,octylammonium iodide
378,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,mixed cations of MDA and Cs
379,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,n-butylammonium bromide (BABr)
380,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
381,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,CF3PEAI2D
382,Cs0.05(MA0.1FA0.85)PbI3,octylammonium iodide
383,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,CB-NH2
384,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,mixed cations of MDA and Cs
385,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
386,(FAPbI3)0.97(MAPbBr3)0.03,4-chlorophenylethylammonium iodide
387,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,EDTA
388,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,oxalic acid
389,PEA2(CH3NH3)2Pb2I7,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
390,formamidinium-based,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
391,MAPbI3,4-tert-butyl-benzylammonium iodide
392,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,methylamine
393,FA0.83Cs0.17PbI3,4-vinylbenzylamine
394,FA0.85MA0.1Cs0.05PbI2.9Br0.1,Spiro-mF
395,FA0.85Cs0.15PbI2.85I3,Choline chloride
396,Cs0.1FA0.9PbI3,piperazinium iodide
397,FAPbI3,AZO/SnOx
398,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,Al2O3
399,Cs0.15FA0.85MA0.1PbI2.55Br0.45,none
400,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,(PbI2)2RbCl
401,FA0.85MA0.15PbI3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
402,"MAPbCl3, MAPbBr3, MAPbI3",2-(9H-carbazol-9-yl)ethyl phosphonic acid
403,Cs0.05(MA0.1FA0.85)PbI3,Spiro-mF
404,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,benzylhydrazine (BHC)
405,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,allylammonium (ALA)
406,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,3F-PEA
407,CsFAMAPbI3,hexafluorobenzene
408,Cs0.2FA0.8Pb(I0.6Br0.4)3,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
409,FA0.83MA0.17Pb(I0.6Br0.4)3,2-(9H-carbazol-9-yl)ethyl phosphonic acid
410,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,sodium thioglycolate
411,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,pentanamidine hydrochloride
412,FA0.82Cs0.13MA0.05PbI3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
413,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,Cl-cPP and Cl-bSO
414,(FAPbI3)1-x(MC)x,Chlorine-capped TiO2
415,FA0.9Cs0.1PbI3,cross-linked polymer (CLP)
416,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
417,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,4-vinylbenzylammonium bromide
418,3D/0D perovskite,sodium thioglycolate
419,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,PDAI2 and 3MTPAI
420,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,2CF3-phenethylammonium iodide
421,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,"1,3-propane diammonium iodide"
422,FA0.85MA0.1Cs0.05PbI2.9Br0.1,CsMAFA-8
423,Cs0.15FA0.85MA0.1PbI2.55Br0.45,n-hexylammonium bromide and n-octylammonium bromide
424,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,Choline chloride
425,MA0.7FA0.3PbI3,methylammonium chloride
426,Cs0.05(MA0.1FA0.85)PbI3,CsMAFA-8
427,FA0.83MA0.17PbI3,azetidinium iodide
428,(FAPbI3)1-x(MC)x,isopropylammonium chloride
429,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,methylammonium chloride
430,3D/0D perovskite,2CF3-phenethylammonium iodide
431,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,sulfonyl fluoride-functionalized phenethylammonium salt
432,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,poly(methyl methacrylate)
433,formamidinium lead iodide,4-chlorophenylethylammonium iodide
434,FA0.83Cs0.17Pb0.5Sn0.5I3,Cs2PbI2Cl2
435,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,piperazinium iodide
436,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),PEA2ZnX4
437,FA0.95MA0.05Pb(I0.92Br0.08)3,poly(4-vinylpyridine)
438,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,"PEAI, Cl-PEAI, F-PEAI"
439,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),hexyltrimethylammonium bromide
440,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,hexafluorobenzene
441,FAPbI3:0.95MAPbBr3:0.05,n-butylammonium bromide (BABr)
442,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,3F-PEA
443,CsPbI3-xBrx,4-vinylbenzylamine
444,FA1-xMAxPbI3Br0.13,(BA)2PbI4
445,MAPbI3,oxalic acid
446,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),LiF
447,FAPbI3,phenylethylammonium iodide
448,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,NaF
449,FA0.8Cs0.2Pb0.5Sn0.5I3,"b-poly(1,1-difluoroethylene) (b-pV2F)"
450,formamidinium lead triiodide (FAPbI3),"m-TiO2, QD-SnO2, and paa-QD-SnO2"
451,Cs0.05MA0.05FA0.90PbI3,allylammonium
452,FA0.15MA0.85PbI3,Spiro-mF
453,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,formamidine acetate
454,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
455,FA0.82Cs0.13MA0.05PbI3,AZO/SnOx
456,formamidinium lead iodide (FAPbI3),4-vinylbenzylamine
457,FA0.83Cs0.17Pb0.5Sn0.5I3,CF3PEAI2D
458,FA0.8Cs0.2Pb(I0.7Br0.3)3,Chlorine-capped TiO2
459,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,allylammonium
460,FA1-xMAxPbI3Br0.13,(PbI2)2RbCl
461,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,"b-poly(1,1-difluoroethylene) (b-pV2F)"
462,FA0.15MA0.85PbI3,CsMAFA-8
463,FA0.9Cs0.1PbI3,TiOxNy
464,Cs0.15FA0.85PbI2.55Br0.45,butylamine
465,FA1-xMAxPbI3Br0.13,pentanamidine hydrochloride
466,Cs0.05FA0.95PbI3,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
467,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,4-ethyl-1H-pyrrole-2-carboxylic acid
468,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,n-hexyl trimethyl ammonium bromide
469,FA0.8Cs0.2Pb(I0.7Br0.3)3,isopropylammonium chloride
470,Cs0.15FA0.85PbI2.55Br0.45,poly(4-vinylpyridine)
471,FA0.8Cs0.2Pb0.5Sn0.5I3,CF3PEAI
472,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,poly(4-vinylpyridine)
473,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
474,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
475,FAPbI3:0.95MAPbBr3:0.05,methylammonium chloride
476,Cs0.05FA0.81MA0.14PbI2.55Br0.45,(BA)2PbI4
477,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
478,FAPbI3,sodium thioglycolate
479,Cs0.2FA0.8Pb(I0.6Br0.4)3,EDTA
480,FA1-xMAxPbI3Br0.13,2-aminoindan hydrochloride
481,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,TiOxNy
482,MA0.7FA0.3PbI3,n-hexylammonium bromide and n-octylammonium bromide
483,FA0.85Cs0.15PbI2.85I3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
484,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,none
485,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),4-fluoroaniline
486,Cs0.15FA0.85MA0.1PbI2.55Br0.45,formamidinium
487,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,n-hexylammonium bromide and n-octylammonium bromide
488,Cs0.17FA0.83Pb(I0.6Br0.4)3,lead sulfate
489,FAPbI3,2CF3-phenethylammonium iodide
490,formamidinium lead iodide,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
491,FA0.85MA0.15PbI3,Oleylammonium iodide
492,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,2D perovskite
493,Cs0.05(MA0.1FA0.85PbI3)3,phenethylammonium iodide (PEAI)
494,(FAPbI3)1-x(MC)x,NaF
495,FA0.8Cs0.2Pb0.5Sn0.5I3,mixed cations of MDA and Cs
496,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,benzene
497,Cs0.17FA0.83Pb(I0.6Br0.4)3,2-TMAI
498,CH3NH3PbI3,sulfonyl fluoride-functionalized phenethylammonium salt
499,CH3NH3PbI3,poly(methyl methacrylate)
500,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,mixed cations of MDA and Cs
501,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,CF3PEAI
502,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),PSP
503,formamidinium lead iodide (FAI) based compound,ortho-(phenylene)di(ethylammonium) iodide
504,3D/CLP/2D perovskite heterostructure,4-vinylbenzylammonium bromide
505,FA0.85Cs0.15PbI2.85I3,Cl-cPP and Cl-bSO
506,Cs0.05FA0.81MA0.14PbI2.55Br0.45,pentanamidine hydrochloride
507,formamidinium lead triiodide (FAPbI3),EDTA
508,FA0.98Cs0.02PbI3,azetidinium iodide
509,FAMAPbI3 and MAPbI3 layers (two-step method),sulfonyl fluoride-functionalized phenethylammonium salt
510,FAMAPbI3 and MAPbI3 layers (two-step method),poly(methyl methacrylate)
511,FA0.83Cs0.17PbI3,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
512,Cs0.17FA0.83Pb(I0.6Br0.4)3,4-trifluoromethyl-phenylammonium
513,Cs0.05MA0.05FA0.90PbI3,octylammonium iodide
514,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,EDTA
515,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,CB-NH2
516,Cs0.2FA0.8Pb(I0.6Br0.4)3,hexafluorobenzene
517,Cs0.05FA0.81MA0.14PbI2.55Br0.45,2-aminoindan hydrochloride
518,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,allylammonium
519,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,benzene
520,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,DTB(3%DEG)
521,(FAPbI3)0.95(MAPbBr3)0.05,Oleylammonium iodide
522,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,octylammonium iodide
523,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),methylammonium chloride
524,FA0.85MA0.1Cs0.05PbI2.9Br0.1,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
525,FA0.83Cs0.17PbI3,NH4Cl
526,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,cross-linked polymer (CLP)
527,Cs0.05(MA0.1FA0.85)PbI3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
528,3D/0D perovskite,phenethylammonium iodide
529,FA0.9Cs0.1PbI3,Al2O3
530,FAPbI3:0.95MAPbBr3:0.05,n-hexylammonium bromide and n-octylammonium bromide
531,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,cyclohexylmethylammonium iodide
532,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,cross-linked polymer (CLP)
533,FA0.8Cs0.2Pb(I0.7Br0.3)3,NaF
534,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,allylammonium (ALA)
535,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,formamidinium lead iodide (FAPbI3)
536,Cs0.05FA0.95PbI3,EDTA
537,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,TiOxNy
538,FA(MA)PbI3,ortho-(phenylene)di(ethylammonium) iodide
539,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,CF3PEAI2D
540,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,Spiro-mF
541,FA0.83Cs0.17Pb0.5Sn0.5I3,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
542,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),n-butylammonium bromide (BABr)
543,3D/0D perovskite,cyclohexylmethylammonium iodide
544,MA0.7FA0.3PbI3,ferrocenyl-bis-thiophene-2-carboxylate
545,MA0.7FA0.3PbI3,formamidinium
546,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,formamidinium lead iodide (FAPbI3)
547,3D/CLP/2D perovskite heterostructure,phenylethylammonium iodide
548,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,ferrocenyl-bis-thiophene-2-carboxylate
549,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,formamidinium
550,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,EDTA
551,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
552,CsPbI3-xBrx,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
553,formamidinium lead triiodide (FAPbI3),hexafluorobenzene
554,MA0.07FA0.93PbI3,hexyltrimethylammonium bromide
555,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,sulfonyl fluoride-functionalized phenethylammonium salt
556,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,NaF
557,Cs0.15FA0.85PbI2.55Br0.45,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
558,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,poly(methyl methacrylate)
559,Cs0.2FA0.8Pb(I0.6Br0.4)3,4-ethyl-1H-pyrrole-2-carboxylic acid
560,FA-based mixed perovskites,poly(4-vinylpyridine)
561,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,PEA2ZnX4
562,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
563,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,hexafluorobenzene
564,Cs0.12FA0.8MA0.08PbI1.8Br1.2,TiOxNy
565,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),4-vinylbenzylamine
566,Cs0.05MA0.05FA0.90PbI3,FA0.83Cs0.17Pb0.5Sn0.5I3
567,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,Oleylammonium iodide
568,FA0.9Cs0.1PbI3,"PEAI, Cl-PEAI, F-PEAI"
569,Cs0.15FA0.85MA0.1PbI2.55Br0.45,Cs2PbI2Cl2
570,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,ortho-(phenylene)di(ethylammonium) iodide
571,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,CsMAFA-8
572,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),none
573,FA0.8Cs0.2Pb(I0.7Br0.3)3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
574,Cs0.1FA0.9PbI2.55Br0.45,sulfonyl fluoride-functionalized phenethylammonium salt
575,FAMAPbI3 and MAPbI3 layers (two-step method),n-butylammonium bromide (BABr)
576,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,3F-PEA
577,Cs0.05(MA0.1FA0.85)PbI3,AZO/SnOx
578,formamidinium lead iodide,PEA2ZnX4
579,FA0.15MA0.85PbI3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
580,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,4-vinylbenzylamine
581,MA0.7FA0.3PbI3,ZrL3
582,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,CB-NH2
583,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,ZrL3
584,CsFAMAPbI3,phenylethylammonium iodide
585,PEA2(CH3NH3)2Pb2I7,ortho-(phenylene)di(ethylammonium) iodide
586,(FAPbI3)1-x(MC)x,allylammonium
587,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
588,Cs0.05FA0.95PbI3,hexafluorobenzene
589,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,"PEAI, Cl-PEAI, F-PEAI"
590,formamidinium lead iodide (FAPbI3),NH4Cl
591,formamidinium lead triiodide (FAPbI3),4-ethyl-1H-pyrrole-2-carboxylic acid
592,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),n-hexylammonium bromide and n-octylammonium bromide
593,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,FA0.83Cs0.17Pb0.5Sn0.5I3
594,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,(BA)2PbI4
595,FA0.8Cs0.2Pb(I0.7Br0.3)3,Cl-cPP and Cl-bSO
596,Cs0.15FA0.85MA0.05PbI3,CB-NH2
597,FA0.95Cs0.05PbI3,3F-PEA
598,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,4-guanidinobenzoic acid hydrochloride (GBAC)
599,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),methylammonium chloride
600,(FAPbI3)0.97(MAPbBr3)0.03,n-butylammonium bromide (BABr)
601,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,hexafluorobenzene
602,Cs0.15FA0.85MA0.1PbI2.55Br0.45,CF3PEAI2D
603,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,4-ethyl-1H-pyrrole-2-carboxylic acid
604,FA0.83Cs0.17PbI3,PEA2ZnX4
605,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,allylammonium (ALA)
606,Cs0.05FA0.9MA0.05PbI2.74Br0.26,azetidinium iodide
607,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,4-guanidinobenzoic acid hydrochloride (GBAC)
608,FA0.85MA0.15PbI3,hexyltrimethylammonium bromide
609,FAPbI3,phenethylammonium iodide
610,FAPbI3:0.95MAPbBr3:0.05,ferrocenyl-bis-thiophene-2-carboxylate
611,FAPbI3:0.95MAPbBr3:0.05,formamidinium
612,MA0.7FA0.3PbI3,EDAI2
613,FA0.85MA0.15PbI3,LiF
614,FA1-xMAxPbI3Br0.13,formamidinium formate
615,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,EDAI2
616,MA0.07FA0.93PbI3,4-fluoroaniline
617,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,phenylethylammonium iodide
618,FA0.15MA0.85PbI3,AZO/SnOx
619,Cs0.05MA0.05FA0.90PbI3,anisole
620,phase-pure quantum wells,hexyltrimethylammonium bromide
621,Cs0.15FA0.85MA0.05PbI3,allylammonium (ALA)
622,Cs0.05(MA0.1FA0.85PbI3)3,sulfonyl fluoride-functionalized phenethylammonium salt
623,Cs0.05(MA0.1FA0.85PbI3)3,poly(methyl methacrylate)
624,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,(PbI2)2RbCl
625,Cs0.05FA0.95PbI3,4-ethyl-1H-pyrrole-2-carboxylic acid
626,FA0.85MA0.1Cs0.05PbI2.9Br0.1,Oleylammonium iodide
627,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,pentanamidine hydrochloride
628,FA0.95MA0.05Pb(I0.92Br0.08)3,methylamine
629,CsFAMAPbI3,sodium thioglycolate
630,MA0.07FA0.93PbI3,PSP
631,FA0.83Cs0.17Pb0.5Sn0.5I3,EDTA
632,Cs0.17FA0.83Pb(I0.6Br0.4)3,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
633,Cs0.1FA0.9PbI2.55Br0.45,n-butylammonium bromide (BABr)
634,FA0.85MA0.15PbI3,n-hexyl trimethyl ammonium bromide
635,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,n-butylamine acetate
636,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,3F-PEA
637,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,4-ethyl-1H-pyrrole-2-carboxylic acid
638,FA0.83Cs0.17PbI3,(BA)2PbI4
639,FAPbI3:0.95MAPbBr3:0.05,ZrL3
640,MA0.7FA0.3PbI3,Cs2PbI2Cl2
641,formamidinium lead iodide,(PbI2)2RbCl
642,Cs0.05(MA0.1FA0.85PbI3)3,formamidine acetate
643,FA0.82Cs0.13MA0.05PbI3,n-hexyl trimethyl ammonium bromide
644,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,Cs2PbI2Cl2
645,CsPbI3-xBrx,PEA2ZnX4
646,CsFAMAPbI3,2CF3-phenethylammonium iodide
